bank_account_id,bank_code,bank_name,country,currency,opened_at,shared_group_id
bank_000001,004,臺灣銀行,TW,TWD,2025-10-25T14:06:47,
bank_000002,812,台新銀行,TW,TWD,2025-09-10T17:05:28,
bank_000003,006,合作金庫,TW,TWD,2025-11-29T16:26:24,
bank_000004,009,彰化銀行,TW,TWD,2025-12-29T02:29:31,
bank_000005,700,中華郵政,TW,TWD,2025-12-19T07:00:13,
bank_000006,812,台新銀行,TW,TWD,2025-07-07T09:52:07,
bank_000007,005,土地銀行,TW,TWD,2025-09-06T15:46:38,
bank_000008,812,台新銀行,AE,TWD,2025-07-23T07:00:16,
bank_000009,006,合作金庫,AE,TWD,2025-10-08T09:46:56,
bank_000010,812,台新銀行,TW,TWD,2025-07-07T13:36:50,
bank_000011,005,土地銀行,TW,TWD,2025-07-16T22:26:44,
bank_000012,005,土地銀行,TW,TWD,2025-11-11T10:04:37,
bank_000013,009,彰化銀行,TW,TWD,2025-09-09T19:01:25,
bank_000014,812,台新銀行,TW,TWD,2025-07-17T10:52:46,
bank_000015,006,合作金庫,TW,TWD,2025-10-03T12:17:17,
bank_000016,013,國泰世華,TW,TWD,2025-12-04T17:49:17,
bank_000017,008,華南銀行,TW,TWD,2025-07-10T11:21:58,
bank_000018,006,合作金庫,TW,TWD,2025-09-25T08:37:45,
bank_000019,005,土地銀行,TW,TWD,2025-11-09T07:15:22,
bank_000020,005,土地銀行,TW,TWD,2025-11-22T00:21:38,
bank_000021,006,合作金庫,TW,TWD,2025-12-07T19:03:06,
bank_000022,005,土地銀行,TW,TWD,2025-09-21T21:31:57,
bank_000023,812,台新銀行,TW,TWD,2025-11-28T21:19:05,
bank_000024,009,彰化銀行,HK,TWD,2025-11-15T17:00:50,
bank_000025,700,中華郵政,HK,TWD,2025-08-12T07:59:06,
bank_000026,700,中華郵政,TW,TWD,2025-12-06T12:28:13,
bank_000027,008,華南銀行,TW,TWD,2025-10-08T14:11:55,
bank_000028,700,中華郵政,TW,TWD,2025-12-01T09:35:41,
bank_000029,700,中華郵政,TW,TWD,2025-10-12T22:45:36,
