device_id,device_type,os_family,app_channel,device_fingerprint,first_seen_at,shared_group_id
dev_000001,mobile,Windows,app,4daa2b5345d6856657a54b48d3923cc6ee217883,2025-12-24T07:17:49,
dev_000002,mobile,iOS,web,2d42df586c6f899d57df0b0a1182644a622c20ef,2025-12-10T13:54:32,
dev_000003,mobile,iOS,app,f5e4f11cf3112d63b1ef08d80a0243722aca7688,2026-01-01T23:59:00,
dev_000004,mobile,iOS,app,5998c83cdd013d24f93130b753c36719140dbdb3,2025-11-30T14:50:21,
dev_000005,desktop,Android,app,73c5b9e0516e9ad1fc1c2d32fef557a70c4a4ac0,2025-12-02T11:27:12,
dev_000006,desktop,iOS,app,7503e1b25139f0dd91212ef63b52dc8157ebc2e9,2025-12-08T08:03:25,
dev_000007,mobile,iOS,app,0e15a77393ab7a53d60666839fb12ad86a1018ff,2025-12-20T12:40:47,
dev_000008,desktop,iOS,app,7bc5f9e8af2a2f3251b50c7d6a7c6e278b03ebe6,2025-11-29T14:22:27,
dev_000009,mobile,Android,app,fb7e472a720436ae39a70d27c2cd07f3889d4c0d,2025-11-22T02:08:24,
dev_000010,mobile,iOS,web,0d3f8d4d77fa34d74f8f75956d23ccc49acad7de,2025-12-26T15:40:48,
dev_000011,mobile,macOS,app,6636fb60d4563bcd72df1741dd9377eadce1727e,2025-12-07T10:07:29,
dev_000012,desktop,iOS,app,f85f6ed25f81cbc30b196a267167b4e14ef44f15,2025-11-30T19:31:22,
dev_000013,desktop,Windows,app,981fe16cd2f6a76e3d77f1d243e582859bcbdfe9,2025-12-24T07:15:02,
dev_000014,tablet,iOS,web,46aefc3d01d0856357e6a923716b97d1bfd19393,2026-01-01T23:59:00,
dev_000015,mobile,Windows,app,69e144ef5274b765086bc3a010825c91e42283c4,2025-12-06T18:25:04,
dev_000016,mobile,Android,web,10c9fcfd56ae75d05ae2547104f00fcdaac2034f,2025-12-11T08:26:31,
dev_000017,mobile,Android,app,7e068abc4d63df169dfe9db9fa7aeef8a055446b,2025-11-29T17:13:28,
dev_000018,mobile,Windows,web,6e63aca43636b2c521cb060c3e35830ef75fc30b,2025-12-30T09:09:05,
dev_000019,desktop,iOS,web,a309cfc06804e5af9432ee6c6703ca1bf6afe849,2025-12-04T21:51:08,
dev_000020,tablet,Windows,app,8ab6f00f89585d3a57edb40d6204af315adb0e3e,2025-12-26T20:58:36,
dev_000021,desktop,macOS,app,516eb6a1832ad42740101dbb78b191c80a1383e4,2025-12-07T17:47:44,
dev_000022,mobile,Android,app,bb0470ddacf4005007da12790858d9929c8ad717,2025-12-04T21:34:19,
dev_000023,desktop,Android,web,c713989ce8c96fb2f9d2760ca241d5483ac7e94c,2025-12-31T19:42:37,
dev_000024,mobile,Windows,web,68e96fd661f68cec0710c97009d40294f0881087,2025-12-28T17:36:02,
dev_000025,desktop,macOS,web,03897012eb12dd139a2be50650d09482cb8b03cf,2025-12-23T20:34:24,
dev_000026,desktop,iOS,app,2b17b3faec4e7422d1a2da1daf61aa649ce7c296,2025-11-24T13:16:06,
