edge_id,occurred_at,src_type,src_id,relation_type,dst_type,dst_id,amount_twd_equiv,asset,scenario_id
edge_000521,2025-12-12T03:00:06,user,usr_000140,USES_BANK_ACCOUNT,bank_account,bank_000197,,,
edge_000562,2025-12-12T03:17:16,user,usr_000170,USES_BANK_ACCOUNT,bank_account,bank_000238,,,
edge_000180,2025-12-12T07:00:10,user,usr_000108,USES_DEVICE,device,dev_000180,,,
edge_000436,2025-12-12T07:21:50,user,usr_000078,USES_BANK_ACCOUNT,bank_account,bank_000112,,,
edge_000438,2025-12-12T07:45:41,user,usr_000080,USES_BANK_ACCOUNT,bank_account,bank_000114,,,
edge_000546,2025-12-12T09:44:08,user,usr_000159,USES_BANK_ACCOUNT,bank_account,bank_000222,,,
edge_000514,2025-12-12T10:49:12,user,usr_000135,USES_BANK_ACCOUNT,bank_account,bank_000190,,,
edge_000583,2025-12-12T12:18:52,user,usr_000185,USES_BANK_ACCOUNT,bank_account,bank_000259,,,
edge_000541,2025-12-12T13:18:31,user,usr_000156,USES_BANK_ACCOUNT,bank_account,bank_000217,,,
edge_000204,2025-12-12T13:37:12,user,usr_000125,USES_DEVICE,device,dev_000204,,,
edge_000563,2025-12-12T15:12:04,user,usr_000171,USES_BANK_ACCOUNT,bank_account,bank_000239,,,
edge_000424,2025-12-12T15:25:54,user,usr_000070,USES_BANK_ACCOUNT,bank_account,bank_000100,,,
edge_000593,2025-12-12T16:06:13,user,usr_000190,USES_BANK_ACCOUNT,bank_account,bank_000269,,,
edge_000205,2025-12-12T16:43:09,user,usr_000126,USES_DEVICE,device,dev_000205,,,
edge_000030,2025-12-12T17:19:19,user,usr_000018,USES_DEVICE,device,dev_000030,,,
edge_000499,2025-12-12T17:40:25,user,usr_000122,USES_BANK_ACCOUNT,bank_account,bank_000175,,,
edge_000592,2025-12-12T19:14:06,user,usr_000189,USES_BANK_ACCOUNT,bank_account,bank_000268,,,
edge_000108,2025-12-12T19:21:53,user,usr_000066,USES_DEVICE,device,dev_000108,,,
edge_000207,2025-12-12T19:24:41,user,usr_000128,USES_DEVICE,device,dev_000207,,,
edge_000308,2025-12-12T20:06:44,user,usr_000190,USES_DEVICE,device,dev_000308,,,
edge_000557,2025-12-12T20:12:35,user,usr_000166,USES_BANK_ACCOUNT,bank_account,bank_000233,,,
edge_000099,2025-12-12T21:14:47,user,usr_000062,USES_DEVICE,device,dev_000099,,,
