fiat_txn_id,user_id,occurred_at,direction,amount_twd,currency,bank_account_id,method,status,scenario_id,tags
fiat_000023,usr_000004,2026-01-01T00:10:00,deposit,31477.86,TWD,bank_000007,bank_transfer,completed,,topup_for_trade
fiat_000531,usr_000111,2026-01-01T00:10:00,deposit,337568.64,TWD,bank_000161,bank_transfer,completed,,topup_for_trade
fiat_000241,usr_000052,2026-01-01T00:12:45,deposit,5155.37,TWD,bank_000071,bank_transfer,completed,,topup_for_trade
fiat_000641,usr_000135,2026-01-01T00:13:24,withdrawal,100.0,TWD,bank_000191,bank_transfer,completed,,base_flow
fiat_000890,usr_000189,2026-01-01T00:25:02,deposit,352705.74,TWD,bank_000267,bank_transfer,completed,,topup_for_trade
fiat_000771,usr_000164,2026-01-01T01:32:23,deposit,708703.35,TWD,bank_000228,bank_transfer,completed,,topup_for_trade
fiat_000891,usr_000189,2026-01-01T02:02:32,deposit,531454.29,TWD,bank_000268,bank_transfer,completed,,topup_for_trade
fiat_000403,usr_000088,2026-01-01T03:42:11,withdrawal,100.0,TWD,bank_000125,bank_transfer,completed,,base_flow
fiat_000112,usr_000021,2026-01-01T04:12:38,deposit,6846.42,TWD,bank_000029,bank_transfer,completed,,topup_for_trade
fiat_000111,usr_000021,2026-01-01T04:22:35,withdrawal,100.0,TWD,bank_000029,bank_transfer,completed,,base_flow
fiat_000902,usr_000190,2026-01-01T07:15:06,withdrawal,100.0,TWD,bank_000269,bank_transfer,completed,,base_flow
fiat_000470,usr_000101,2026-01-01T08:16:31,deposit,25006.73,TWD,bank_000146,bank_transfer,completed,,topup_for_trade
fiat_000212,usr_000045,2026-01-01T08:17:14,deposit,11943.17,TWD,bank_000062,bank_transfer,completed,,topup_for_trade
fiat_000086,usr_000016,2026-01-01T08:51:59,withdrawal,100.0,TWD,bank_000023,bank_transfer,completed,,base_flow
fiat_000809,usr_000173,2026-01-01T09:09:55,deposit,19910.11,TWD,bank_000241,bank_transfer,completed,,topup_for_trade
