login_id,user_id,occurred_at,device_id,ip_address,ip_country,ip_city,is_vpn,is_new_device,is_geo_jump,success,scenario_id,tags
login_002198,usr_000136,2026-01-01T00:21:12,dev_000223,100.203.5.204,SG,Singapore,1,1,0,1,,
login_000022,usr_000002,2026-01-01T00:51:24,dev_000002,118.63.170.234,TW,高雄市,0,1,0,1,,
login_000959,usr_000060,2026-01-01T01:00:55,dev_000097,85.210.193.197,TW,新北市,0,1,0,1,,
login_001401,usr_000088,2026-01-01T01:26:12,dev_000142,107.48.137.40,TW,高雄市,0,1,0,1,,
login_001559,usr_000096,2026-01-01T01:29:53,dev_000159,34.194.125.146,TW,桃園市,0,1,0,1,,
login_001324,usr_000082,2026-01-01T01:38:59,dev_000133,33.105.12.175,TW,新竹市,0,1,0,1,,
login_000995,usr_000063,2026-01-01T01:44:25,dev_000102,216.58.204.137,TW,新竹市,0,1,0,1,,
login_000435,usr_000025,2026-01-01T01:50:10,dev_000041,142.75.251.28,TW,台北市,0,1,0,1,,
login_001777,usr_000108,2026-01-01T01:51:33,dev_000180,170.172.229.27,TW,台中市,0,1,0,1,,
login_002950,usr_000187,2026-01-01T01:54:17,dev_000303,202.119.164.104,SG,Singapore,0,1,0,1,,
login_002260,usr_000140,2026-01-01T02:52:13,dev_000230,216.153.101.84,HK,Hong Kong,0,1,0,1,,
login_000981,usr_000062,2026-01-01T02:59:12,dev_000099,74.224.99.140,TW,宜蘭縣,0,1,0,1,,
login_000565,usr_000034,2026-01-01T03:09:25,dev_000056,165.226.89.192,TW,台北市,1,1,0,1,,
login_001582,usr_000096,2026-01-01T04:10:44,dev_000160,34.194.255.186,TW,桃園市,0,1,0,1,,
login_001116,usr_000068,2026-01-01T07:10:39,dev_000113,223.79.71.142,TW,新北市,0,1,0,1,,
login_002977,usr_000189,2026-01-01T07:23:10,dev_000307,164.43.192.127,AE,Dubai,0,1,0,1,,
login_001624,usr_000099,2026-01-01T07:44:56,dev_000164,131.58.200.171,TW,高雄市,0,1,0,1,,
login_002905,usr_000184,2026-01-01T08:08:00,dev_000299,158.100.80.17,TW,新北市,0,1,0,1,,
login_000294,usr_000016,2026-01-01T08:16:09,dev_000028,207.50.38.49,TW,宜蘭縣,0,1,0,1,,
login_002241,usr_000139,2026-01-01T08:21:08,dev_000228,10.70.195.111,TW,台南市,0,1,0,1,,
login_001671,usr_000103,2026-01-01T08:21:35,dev_000170,122.77.19.174,TW,台北市,0,1,0,1,,
login_001354,usr_000084,2026-01-01T08:43:46,dev_000136,108.58.48.81,TW,新竹市,0,1,0,1,,
login_003137,usr_000199,2026-01-01T09:02:50,dev_000323,130.253.23.39,TW,台北市,0,1,0,1,,
login_000929,usr_000056,2026-01-01T09:06:08,dev_000092,60.135.236.86,TW,新竹市,0,1,0,1,,
login_000161,usr_000007,2026-01-01T09:27:09,dev_000014,221.56.167.137,TW,台南市,0,1,0,1,,
login_002790,usr_000175,2026-01-01T09:29:42,dev_000285,24.207.58.95,TW,台中市,0,1,0,1,,
login_000230,usr_000010,2026-01-01T10:19:01,dev_000019,154.165.88.49,TW,新竹市,0,1,0,1,,
login_000980,usr_000062,2026-01-01T10:27:26,dev_000099,74.224.86.181,TW,宜蘭縣,0,0,0,1,,
login_002261,usr_000140,2026-01-01T10:31:10,dev_000232,98.187.220.169,SG,Singapore,0,1,1,1,,
login_001312,usr_000081,2026-01-01T10:31:12,dev_000132,16.203.179.16,TW,新竹市,0,1,0,1,,
login_000573,usr_000034,2026-01-01T10:38:25,dev_000055,129.103.38.21,US,Los Angeles,0,1,1,1,,
login_000808,usr_000049,2026-01-01T10:48:51,dev_000081,63.156.56.87,TW,宜蘭縣,0,1,0,1,,
login_001340,usr_000083,2026-01-01T10:52:35,dev_000135,13.169.26.101,TW,高雄市,1,1,0,1,,
login_001468,usr_000091,2026-01-01T11:11:12,dev_000148,58.219.221.224,TW,新北市,0,1,0,1,,
login_001487,usr_000092,2026-01-01T11:25:46,dev_000150,156.39.212.25,GB,London,1,1,0,1,,
login_001031,usr_000064,2026-01-01T11:33:13,dev_000104,117.74.35.177,SG,Singapore,0,1,0,1,,
login_001646,usr_000102,2026-01-01T11:58:45,dev_000168,95.146.225.28,TW,台北市,0,1,0,1,,
login_002899,usr_000184,2026-01-01T12:04:38,dev_000299,158.100.31.171,TW,新北市,0,0,0,1,,
login_000639,usr_000038,2026-01-01T12:09:36,dev_000063,107.31.87.245,TW,桃園市,0,1,0,1,,
login_001264,usr_000078,2026-01-01T12:11:53,dev_000128,121.12.205.196,TW,台中市,0,1,0,1,,
login_000304,usr_000017,2026-01-01T12:19:53,dev_000029,43.194.249.156,HK,Hong Kong,0,1,0,1,,
login_000112,usr_000006,2026-01-01T12:39:39,dev_000012,37.135.209.243,AE,Dubai,0,1,0,1,,
login_002518,usr_000161,2026-01-01T12:40:02,dev_000259,53.34.190.112,TW,新竹市,0,1,0,1,,
login_002455,usr_000155,2026-01-01T12:43:07,dev_000252,135.228.111.205,GB,London,0,1,0,1,,
login_001040,usr_000065,2026-01-01T12:53:59,dev_000106,186.152.43.139,TW,台中市,0,1,0,1,,
login_001004,usr_000063,2026-01-01T13:00:50,dev_000101,216.58.201.225,TW,新竹市,0,1,0,1,,
login_001375,usr_000087,2026-01-01T13:03:15,dev_000141,204.58.171.158,TW,高雄市,0,1,0,1,,
login_001073,usr_000066,2026-01-01T13:04:01,dev_000107,223.96.139.26,TW,宜蘭縣,0,1,0,1,,
login_000662,usr_000039,2026-01-01T13:08:09,dev_000065,138.112.8.216,JP,Tokyo,0,1,0,1,,
login_002504,usr_000160,2026-01-01T13:16:13,dev_000258,140.217.190.70,TW,桃園市,0,1,0,1,,
login_001940,usr_000119,2026-01-01T13:26:32,dev_000195,193.97.155.19,TW,台中市,0,1,0,1,,
login_002491,usr_000159,2026-01-01T13:43:53,dev_000256,21.68.116.165,AE,Dubai,0,1,0,1,,
login_002856,usr_000182,2026-01-01T13:51:26,dev_000294,201.166.146.210,TW,高雄市,0,1,0,1,,
login_002177,usr_000135,2026-01-01T14:06:57,dev_000221,64.81.76.233,TW,新竹市,0,1,0,1,,
login_001309,usr_000081,2026-01-01T14:26:06,dev_000132,16.203.245.40,TW,新竹市,0,0,0,1,,
login_001064,usr_000066,2026-01-01T14:26:13,dev_000108,163.132.138.117,TW,台中市,1,1,1,1,,
login_002247,usr_000140,2026-01-01T14:28:35,dev_000230,216.153.40.245,HK,Hong Kong,0,0,1,1,,
login_001406,usr_000088,2026-01-01T14:40:40,dev_000142,107.48.172.150,TW,高雄市,0,0,0,1,,
login_001808,usr_000111,2026-01-01T14:46:37,dev_000186,73.42.196.141,TW,宜蘭縣,0,1,0,1,,
login_001489,usr_000092,2026-01-01T14:51:13,dev_000151,43.2.48.71,AE,Dubai,0,1,1,1,,
login_001771,usr_000108,2026-01-01T14:51:57,dev_000180,170.172.107.83,TW,台中市,0,0,0,1,,
login_000185,usr_000008,2026-01-01T14:54:22,dev_000016,185.58.207.116,TW,高雄市,0,1,0,1,,
login_001013,usr_000064,2026-01-01T15:30:10,dev_000104,117.74.17.8,SG,Singapore,0,0,0,1,,
login_001206,usr_000074,2026-01-01T15:49:55,dev_000123,199.117.104.231,TW,高雄市,0,1,0,1,,
login_000902,usr_000055,2026-01-01T16:05:36,dev_000091,45.38.108.152,TW,新北市,0,1,0,1,,
login_001449,usr_000090,2026-01-01T16:37:24,dev_000147,107.193.231.118,HK,Hong Kong,0,1,0,1,,
login_001654,usr_000102,2026-01-01T16:38:22,dev_000168,95.146.82.59,TW,台北市,0,0,0,1,,
login_000612,usr_000037,2026-01-01T16:39:07,dev_000061,70.171.57.234,TW,宜蘭縣,0,1,0,1,,
login_000763,usr_000046,2026-01-01T17:18:12,dev_000077,186.120.148.238,JP,Tokyo,0,1,0,1,,
login_002149,usr_000132,2026-01-01T17:22:33,dev_000218,68.107.19.205,TW,台南市,0,1,0,1,,
login_001900,usr_000117,2026-01-01T17:24:06,dev_000193,27.170.178.158,TW,台北市,0,1,0,1,,
login_000318,usr_000018,2026-01-01T17:26:05,dev_000031,49.151.75.115,TW,高雄市,0,1,0,1,,
login_000788,usr_000048,2026-01-01T17:29:56,dev_000080,3.97.44.81,TW,台中市,0,1,0,1,,
