trade_id,user_id,occurred_at,side,base_asset,quote_asset,price_twd,quantity,notional_twd,fee_twd,order_type,status,scenario_id,tags
trade_000500,usr_000111,2026-01-01T00:07:07,buy,ETH,TWD,110000.0,2.73935245,301328.77,301.33,market,filled,,base_trade
trade_000029,usr_000004,2026-01-01T00:47:16,buy,USDT,TWD,32.0,772.14125,24708.52,24.71,market,filled,,base_trade
trade_000829,usr_000189,2026-01-01T01:18:02,buy,ETH,TWD,110000.0,2.545316,279984.76,279.98,market,filled,,base_trade
trade_000215,usr_000052,2026-01-01T02:03:45,buy,USDT,TWD,32.0,118.244687,3783.83,3.78,market,filled,,base_trade
trade_000830,usr_000189,2026-01-01T03:20:32,buy,USDT,TWD,32.0,12391.260625,396520.34,396.52,market,filled,,base_trade
trade_000722,usr_000164,2026-01-01T03:58:23,buy,USDT,TWD,32.0,14952.199062,478470.37,478.47,market,filled,,base_trade
trade_000119,usr_000021,2026-01-01T04:51:38,buy,USDT,TWD,32.0,185.963125,5950.82,5.95,market,filled,,base_trade
trade_000449,usr_000101,2026-01-01T08:41:31,buy,BTC,TWD,2200000.0,0.00852985,18765.67,18.77,market,filled,,base_trade
trade_000193,usr_000045,2026-01-01T09:06:14,buy,USDT,TWD,32.0,264.40375,8460.92,8.46,market,filled,,base_trade
trade_000767,usr_000173,2026-01-01T10:42:55,buy,USDT,TWD,32.0,450.655937,14420.99,14.42,market,filled,,base_trade
trade_000183,usr_000042,2026-01-01T10:54:50,buy,USDT,TWD,32.0,161.526875,5168.86,5.17,market,filled,,base_trade
trade_000441,usr_000099,2026-01-01T12:03:29,buy,USDT,TWD,32.0,46.875,1500.0,1.5,market,filled,,base_trade
trade_000888,usr_000199,2026-01-01T13:25:39,buy,USDT,TWD,32.0,245.804688,7865.75,7.87,market,filled,,base_trade
trade_000632,usr_000137,2026-01-01T15:15:21,buy,USDT,TWD,32.0,247.012188,7904.39,7.9,market,filled,,base_trade
trade_000571,usr_000128,2026-01-01T15:43:23,sell,USDT,TWD,32.0,636.800869,20377.63,20.38,market,filled,,base_trade
trade_000233,usr_000056,2026-01-01T15:47:22,buy,USDT,TWD,32.0,360.44,11534.08,11.53,market,filled,,base_trade
trade_000316,usr_000072,2026-01-01T16:23:34,buy,USDT,TWD,32.0,248.971563,7967.09,7.97,market,filled,,base_trade
trade_000216,usr_000052,2026-01-01T18:11:25,sell,USDT,TWD,32.0,39.183537,1253.87,1.25,market,filled,,base_trade
trade_000685,usr_000154,2026-01-01T21:43:36,buy,USDT,TWD,32.0,295.71125,9462.76,9.46,market,filled,,base_trade
trade_000152,usr_000034,2026-01-01T23:20:32,buy,BTC,TWD,2200000.0,0.00318672,7010.78,7.01,market,filled,,base_trade
trade_000741,usr_000165,2026-01-01T23:59:24,buy,USDT,TWD,32.0,617.5925,19762.96,19.76,market,filled,,base_trade
trade_000075,usr_000009,2026-01-02T00:24:16,buy,USDT,TWD,32.0,845.095625,27043.06,27.04,market,filled,,base_trade
trade_000263,usr_000066,2026-01-02T03:00:10,buy,BTC,TWD,2200000.0,0.01137316,25020.95,25.02,market,filled,,base_trade
trade_000668,usr_000150,2026-01-02T03:32:39,buy,USDT,TWD,32.0,80.11625,2563.72,2.56,market,filled,,base_trade
trade_000572,usr_000128,2026-01-02T03:48:38,buy,ETH,TWD,110000.0,0.99873118,109860.43,109.86,market,filled,,base_trade
trade_000268,usr_000067,2026-01-02T07:33:16,buy,USDT,TWD,32.0,14904.16,476933.12,476.93,market,filled,,base_trade
trade_000252,usr_000063,2026-01-02T07:53:38,buy,USDT,TWD,32.0,151.114688,4835.67,4.84,market,filled,,base_trade
trade_000264,usr_000066,2026-01-02T08:26:00,sell,BTC,TWD,2200000.0,0.00313265,6891.83,6.89,market,filled,,base_trade
trade_000104,usr_000018,2026-01-02T08:28:13,buy,ETH,TWD,110000.0,0.04391864,4831.05,4.83,market,filled,,base_trade
trade_000166,usr_000039,2026-01-02T09:15:55,buy,USDT,TWD,32.0,112.08625,3586.76,3.59,market,filled,,base_trade
trade_000269,usr_000067,2026-01-02T09:30:32,sell,USDT,TWD,32.0,3764.980451,120479.37,120.48,market,filled,,base_trade
trade_000302,usr_000070,2026-01-02T10:23:28,buy,USDT,TWD,32.0,372.121562,11907.89,11.91,market,filled,,base_trade
trade_000879,usr_000197,2026-01-02T10:44:18,buy,USDT,TWD,32.0,67.565938,2162.11,2.16,market,filled,,base_trade
trade_000303,usr_000070,2026-01-02T10:50:23,buy,BTC,TWD,2200000.0,0.00531215,11686.73,11.69,market,filled,,base_trade
trade_000876,usr_000195,2026-01-02T12:22:11,buy,USDT,TWD,32.0,107.23125,3431.4,3.43,market,filled,,base_trade
trade_000501,usr_000111,2026-01-02T13:53:31,sell,ETH,TWD,110000.0,2.4119691,265316.6,265.32,market,filled,,base_trade
