link_id,user_id,bank_account_id,is_primary,linked_at
ubl_000001,usr_000001,bank_000001,1,2026-01-01T20:55:02
ubl_000002,usr_000001,bank_000002,0,2025-12-15T19:13:51
ubl_000003,usr_000002,bank_000003,1,2025-12-26T07:25:32
ubl_000004,usr_000002,bank_000004,0,2025-12-22T17:49:54
ubl_000005,usr_000003,bank_000005,1,2025-12-27T08:33:43
ubl_000006,usr_000003,bank_000006,0,2025-12-25T21:04:14
ubl_000007,usr_000004,bank_000007,1,2025-12-21T23:01:54
ubl_000008,usr_000005,bank_000008,1,2025-12-18T07:50:25
ubl_000009,usr_000006,bank_000009,1,2025-12-15T18:21:51
ubl_000010,usr_000007,bank_000010,1,2025-12-21T19:29:23
ubl_000011,usr_000008,bank_000011,1,2025-12-23T16:05:37
ubl_000012,usr_000008,bank_000012,0,2025-12-30T08:15:18
ubl_000013,usr_000009,bank_000013,1,2025-12-26T15:15:06
ubl_000014,usr_000010,bank_000014,1,2025-12-24T14:43:27
ubl_000015,usr_000010,bank_000015,0,2025-12-26T18:39:39
ubl_000016,usr_000011,bank_000016,1,2025-12-13T21:33:22
ubl_000017,usr_000012,bank_000017,1,2025-12-31T12:21:45
ubl_000018,usr_000012,bank_000018,0,2025-12-16T22:55:23
ubl_000019,usr_000013,bank_000019,1,2025-12-22T07:52:45
ubl_000020,usr_000014,bank_000020,1,2025-12-31T23:01:27
ubl_000021,usr_000014,bank_000021,0,2025-12-22T12:26:44
ubl_000022,usr_000015,bank_000022,1,2026-01-01T23:59:00
ubl_000023,usr_000016,bank_000023,1,2025-12-24T23:02:32
ubl_000024,usr_000017,bank_000024,1,2025-12-31T17:26:07
ubl_000025,usr_000017,bank_000025,0,2025-12-30T20:55:34
ubl_000026,usr_000018,bank_000026,1,2025-12-25T22:55:23
ubl_000027,usr_000019,bank_000027,1,2025-12-27T13:22:10
ubl_000028,usr_000020,bank_000028,1,2025-12-31T13:43:06
ubl_000029,usr_000021,bank_000029,1,2025-12-18T16:14:43
ubl_000030,usr_000022,bank_000030,1,2026-01-01T23:59:00
ubl_000031,usr_000023,bank_000031,1,2025-12-23T11:24:32
ubl_000032,usr_000023,bank_000032,0,2025-12-26T22:33:21
ubl_000033,usr_000024,bank_000033,1,2025-12-15T14:07:35
ubl_000034,usr_000025,bank_000034,1,2025-12-29T12:44:59
ubl_000035,usr_000025,bank_000035,0,2025-12-15T23:31:09
ubl_000036,usr_000026,bank_000036,1,2025-12-14T13:11:07
ubl_000037,usr_000027,bank_000037,1,2025-12-26T09:41:20
ubl_000038,usr_000028,bank_000038,1,2025-12-22T13:03:32
ubl_000039,usr_000028,bank_000039,0,2025-12-14T17:36:28
ubl_000040,usr_000029,bank_000040,1,2026-01-01T23:59:00
ubl_000041,usr_000030,bank_000041,1,2025-12-16T09:53:44
ubl_000042,usr_000031,bank_000042,1,2025-12-24T07:12:17
ubl_000043,usr_000032,bank_000043,1,2025-12-23T22:47:38
ubl_000044,usr_000033,bank_000044,1,2025-12-19T23:21:21
ubl_000045,usr_000033,bank_000045,0,2025-12-27T00:07:42
ubl_000046,usr_000034,bank_000046,1,2025-12-30T20:26:24
ubl_000047,usr_000034,bank_000047,0,2026-01-01T23:59:00
ubl_000048,usr_000035,bank_000048,1,2025-12-23T16:54:32
ubl_000049,usr_000035,bank_000049,0,2025-12-18T07:54:48
ubl_000050,usr_000036,bank_000050,1,2025-12-27T12:41:38
ubl_000051,usr_000037,bank_000051,1,2025-12-27T00:14:48
ubl_000052,usr_000038,bank_000052,1,2025-12-23T20:31:50
ubl_000053,usr_000038,bank_000053,0,2025-12-19T09:13:09
ubl_000054,usr_000039,bank_000054,1,2025-12-30T19:39:42
ubl_000055,usr_000040,bank_000055,1,2025-12-14T15:26:16
ubl_000056,usr_000041,bank_000056,1,2025-12-21T17:45:25
ubl_000057,usr_000041,bank_000057,0,2025-12-17T10:50:21
ubl_000058,usr_000042,bank_000058,1,2025-12-20T20:42:25
ubl_000059,usr_000043,bank_000059,1,2025-12-30T21:07:16
ubl_000060,usr_000044,bank_000060,1,2025-12-20T12:53:15
ubl_000061,usr_000045,bank_000061,1,2025-12-24T13:23:39
ubl_000062,usr_000045,bank_000062,0,2025-12-31T12:31:27
ubl_000063,usr_000046,bank_000063,1,2025-12-26T21:39:18
ubl_000064,usr_000047,bank_000064,1,2025-12-19T23:44:47
ubl_000065,usr_000048,bank_000065,1,2025-12-22T21:55:34
ubl_000066,usr_000048,bank_000066,0,2025-12-30T16:47:40
ubl_000067,usr_000049,bank_000067,1,2025-12-19T17:58:39
ubl_000068,usr_000049,bank_000068,0,2025-12-25T11:11:08
ubl_000069,usr_000050,bank_000069,1,2025-12-16T10:04:34
ubl_000070,usr_000051,bank_000070,1,2025-12-13T19:07:15
ubl_000071,usr_000052,bank_000071,1,2025-12-13T14:35:18
ubl_000072,usr_000053,bank_000072,1,2025-12-24T16:31:49
ubl_000073,usr_000053,bank_000073,0,2025-12-15T07:02:53
ubl_000074,usr_000054,bank_000074,1,2025-12-19T12:35:47
ubl_000075,usr_000055,bank_000075,1,2025-12-16T02:00:19
ubl_000076,usr_000055,bank_000076,0,2025-12-20T22:35:36
ubl_000077,usr_000056,bank_000077,1,2025-12-13T20:22:56
ubl_000078,usr_000056,bank_000078,0,2025-12-19T22:59:00
ubl_000079,usr_000057,bank_000079,1,2025-12-16T21:35:12
ubl_000080,usr_000058,bank_000080,1,2025-12-21T07:19:28
ubl_000081,usr_000059,bank_000081,1,2026-01-01T23:59:00
ubl_000082,usr_000059,bank_000082,0,2025-12-22T15:34:05
ubl_000083,usr_000060,bank_000083,1,2025-12-14T22:43:39
ubl_000084,usr_000060,bank_000084,0,2025-12-31T15:08:13
ubl_000085,usr_000061,bank_000085,1,2025-12-18T08:01:48
ubl_000086,usr_000062,bank_000086,1,2025-12-24T21:39:47
