crypto_txn_id,user_id,occurred_at,direction,asset,network,wallet_id,counterparty_wallet_id,amount_asset,amount_twd_equiv,tx_hash,status,onchain_risk_seed,scenario_id,tags
ctx_000247,usr_000180,2026-01-01T00:05:51,deposit,USDT,TRON,wal_000538,wal_003847,811.674062,25973.57,a78b0cbdd35f937e2ab073d1cd93d4e2d9bedc27,completed,clean,,base_onchain
ctx_000058,usr_000052,2026-01-01T01:55:08,deposit,ETH,ETH,wal_000156,wal_003658,0.06562145,7218.36,2442baea6290c631795353cb915419b96ccad2e7,completed,clean,,base_onchain
ctx_001436,usr_001024,2026-01-01T02:37:58,deposit,USDT,TRON,wal_003070,wal_005036,556.9625,17822.8,20973d09d52c4b79dc5ed08217ff4cc62b9936aa,completed,clean,,base_onchain
ctx_000474,usr_000317,2026-01-01T03:51:29,deposit,USDT,TRON,wal_000949,wal_004074,62.5,2000.0,f60e41d4ac2ccba2c02d1bc72167ca1811bc53f2,completed,clean,,base_onchain
ctx_000828,usr_000571,2026-01-01T07:03:50,deposit,ETH,ETH,wal_001713,wal_004428,0.12667091,13933.8,1d308fb44a3a295309460926441d7d06b29d97a8,completed,clean,,base_onchain
ctx_000338,usr_000245,2026-01-01T08:26:02,deposit,USDT,TRON,wal_000733,wal_003938,726.503438,23248.11,c10dd3182dfacc1a59ed1cfbab007eea6fc7faf0,completed,clean,,base_onchain
ctx_001286,usr_000918,2026-01-01T08:29:02,withdrawal,ETH,ETH,wal_002754,wal_004886,0.02511129,2762.24,5c9e0498410b428e8eeab0d660e732a6b7f9f74b,completed,clean,,base_onchain
ctx_001220,usr_000854,2026-01-01T09:38:36,deposit,USDT,TRON,wal_002560,wal_004820,223.0125,7136.4,917c75b974d27724935b1a578fe87f8d79792881,completed,clean,,base_onchain
ctx_000750,usr_000524,2026-01-01T10:04:50,deposit,ETH,ETH,wal_001572,wal_004350,0.01818182,2000.0,ac2270e0706e3e635eac56636771e868b37f0a67,completed,clean,,base_onchain
ctx_000623,usr_000428,2026-01-01T10:09:24,deposit,BTC,BTC,wal_001283,wal_004223,0.12906438,283941.64,eef61cb918c48dc20c20ef261a5f476eda36573d,completed,clean,,base_onchain
ctx_000217,usr_000165,2026-01-01T10:55:01,deposit,USDT,TRON,wal_000493,wal_003817,702.889063,22492.45,8ac92b8fef148f11e6995f0f1a8155e83a218a0f,completed,clean,,base_onchain
ctx_000295,usr_000219,2026-01-01T12:01:35,deposit,USDT,TRON,wal_000655,wal_003895,14939.712187,478070.79,e5d5581696d02efda8768fc988801b87c87a8151,completed,clean,,base_onchain
ctx_001560,usr_001131,2026-01-01T12:27:46,deposit,ETH,ETH,wal_003393,wal_005160,5.27181491,579899.64,0b2459ac3427763eeb0e9a4c53b8ea2b0eefc97f,completed,clean,,base_onchain
ctx_001628,usr_001170,2026-01-01T13:25:00,deposit,ETH,ETH,wal_003510,wal_005228,0.01818182,2000.0,16247bf8f573b042bf1eb197e96d8cc5bbabdd1d,completed,clean,,base_onchain
ctx_001602,usr_001159,2026-01-01T13:34:57,deposit,BTC,BTC,wal_003476,wal_005202,0.01265925,27850.35,735ecc45ca27334db202254e4dd907e9f3cc69ac,completed,clean,,base_onchain
ctx_000866,usr_000598,2026-01-01T13:53:01,deposit,ETH,ETH,wal_001794,wal_004466,0.17772736,19550.01,a0fb336532476bb3d90c33ff7e2e8b8976a46751,completed,clean,,base_onchain
ctx_001437,usr_001024,2026-01-01T14:02:20,deposit,USDT,TRON,wal_003070,wal_005037,1518.617812,48595.77,1449570cfbc8ea3ef0fba02760239a17f0ec8e53,completed,clean,,base_onchain
ctx_001061,usr_000736,2026-01-01T14:14:56,deposit,USDT,TRON,wal_002206,wal_004661,714.37625,22860.04,c160a3436e2f7a61131e658f9be047314d6ea002,completed,clean,,base_onchain
ctx_000867,usr_000599,2026-01-01T14:55:08,deposit,BTC,BTC,wal_001796,wal_004467,0.00672618,14797.6,8fddf30ad005b8b5670b6c0f0a7c6fc06c3714ed,completed,clean,,base_onchain
ctx_000018,usr_000019,2026-01-01T15:22:28,deposit,USDT,TRON,wal_000055,wal_003618,62.5,2000.0,d39096cc4565fc8efe6751d27faee49493569680,completed,clean,,base_onchain
ctx_001266,usr_000887,2026-01-01T15:22:59,deposit,USDT,TRON,wal_002659,wal_004866,977.08625,31266.76,a59e43b8af0cbc34747d928bc2762d4620878ccf,completed,clean,,base_onchain
ctx_001588,usr_001152,2026-01-01T15:41:15,deposit,USDT,TRON,wal_003454,wal_005188,142.51875,4560.6,83f6dd08f4e5017376c6ca400e08f907481062b6,completed,clean,,base_onchain
ctx_000457,usr_000303,2026-01-01T15:45:26,deposit,USDT,TRON,wal_000907,wal_004057,401.921875,12861.5,f7759593367ec521eeabe0cb7565bcc9c84b4914,completed,clean,,base_onchain
ctx_000705,usr_000488,2026-01-01T17:31:21,deposit,BTC,BTC,wal_001463,wal_004305,0.00750547,16512.03,cc3c49cc6cc8e2011661e506333127e1ff4ef986,completed,clean,,base_onchain
ctx_001224,usr_000857,2026-01-01T18:01:52,deposit,USDT,TRON,wal_002569,wal_004824,200.204688,6406.55,4daae9c5bdb22fc4e7cb056ace0f7d4ef0fb5e37,completed,clean,,base_onchain
ctx_001655,usr_001191,2026-01-01T18:45:39,deposit,USDT,TRON,wal_003571,wal_005255,163.575625,5234.42,c705fbdecebbeeed8ecd4670b2e9daeb1a77548f,completed,clean,,base_onchain
