wallet_id,wallet_kind,user_id,cluster_id,asset,network,risk_seed,created_at
wal_000001,user_wallet,usr_000001,,USDT,TRON,clean,2025-12-02T00:28:50
wal_000002,user_wallet,usr_000001,,BTC,BTC,clean,2025-12-29T13:03:50
wal_000003,user_wallet,usr_000001,,ETH,ETH,clean,2025-12-12T22:01:46
wal_000004,user_wallet,usr_000002,,USDT,TRON,clean,2025-12-22T10:30:02
wal_000005,user_wallet,usr_000002,,BTC,BTC,clean,2025-12-04T11:02:38
wal_000006,user_wallet,usr_000002,,ETH,ETH,clean,2025-11-05T09:56:15
wal_000007,user_wallet,usr_000003,,USDT,TRON,clean,2025-12-23T07:55:25
wal_000008,user_wallet,usr_000003,,BTC,BTC,clean,2025-11-18T18:56:35
wal_000009,user_wallet,usr_000003,,ETH,ETH,clean,2025-12-30T11:16:40
wal_000010,user_wallet,usr_000004,,USDT,TRON,clean,2025-12-18T21:13:06
wal_000011,user_wallet,usr_000004,,BTC,BTC,clean,2025-11-21T02:05:29
wal_000012,user_wallet,usr_000004,,ETH,ETH,clean,2025-12-27T10:18:40
wal_000013,user_wallet,usr_000005,,USDT,TRON,clean,2025-12-18T03:39:53
wal_000014,user_wallet,usr_000005,,BTC,BTC,clean,2025-12-16T09:02:18
wal_000015,user_wallet,usr_000005,,ETH,ETH,clean,2025-12-15T17:18:15
wal_000016,user_wallet,usr_000006,,USDT,TRON,clean,2025-12-09T08:31:13
wal_000017,user_wallet,usr_000006,,BTC,BTC,clean,2025-11-10T13:14:02
wal_000018,user_wallet,usr_000006,,ETH,ETH,clean,2025-12-28T11:46:04
wal_000019,user_wallet,usr_000007,,USDT,TRON,clean,2025-11-09T03:58:00
wal_000020,user_wallet,usr_000007,,BTC,BTC,clean,2025-12-28T12:25:23
wal_000021,user_wallet,usr_000007,,ETH,ETH,clean,2025-12-11T19:56:03
wal_000022,user_wallet,usr_000008,,USDT,TRON,clean,2025-12-10T11:15:28
wal_000023,user_wallet,usr_000008,,BTC,BTC,clean,2025-11-19T14:04:05
wal_000024,user_wallet,usr_000008,,ETH,ETH,clean,2025-11-18T02:08:33
wal_000025,user_wallet,usr_000009,,USDT,TRON,clean,2025-12-21T13:22:03
wal_000026,user_wallet,usr_000009,,BTC,BTC,clean,2025-12-24T15:11:27
wal_000027,user_wallet,usr_000009,,ETH,ETH,clean,2025-12-08T10:27:48
wal_000028,user_wallet,usr_000010,,USDT,TRON,clean,2025-11-04T16:23:39
wal_000029,user_wallet,usr_000010,,BTC,BTC,clean,2025-12-18T07:42:23
wal_000030,user_wallet,usr_000010,,ETH,ETH,clean,2025-11-30T18:38:52
wal_000031,user_wallet,usr_000011,,USDT,TRON,clean,2025-12-05T15:50:23
wal_000032,user_wallet,usr_000011,,BTC,BTC,clean,2025-12-09T15:15:09
wal_000033,user_wallet,usr_000011,,ETH,ETH,clean,2025-11-23T13:01:49
wal_000034,user_wallet,usr_000012,,USDT,TRON,clean,2025-11-25T15:08:42
wal_000035,user_wallet,usr_000012,,BTC,BTC,clean,2025-12-29T11:53:52
wal_000036,user_wallet,usr_000012,,ETH,ETH,clean,2025-11-20T20:26:56
wal_000037,user_wallet,usr_000013,,USDT,TRON,clean,2025-11-09T12:49:17
wal_000038,user_wallet,usr_000013,,BTC,BTC,clean,2025-11-27T12:37:50
wal_000039,user_wallet,usr_000013,,ETH,ETH,clean,2025-12-21T15:17:40
wal_000040,user_wallet,usr_000014,,USDT,TRON,clean,2025-11-05T03:33:03
wal_000041,user_wallet,usr_000014,,BTC,BTC,clean,2025-12-11T11:18:40
wal_000042,user_wallet,usr_000014,,ETH,ETH,clean,2025-12-10T09:03:29
wal_000043,user_wallet,usr_000015,,USDT,TRON,clean,2025-12-31T08:36:44
wal_000044,user_wallet,usr_000015,,BTC,BTC,clean,2025-12-31T17:49:16
wal_000045,user_wallet,usr_000015,,ETH,ETH,clean,2025-11-03T15:43:34
wal_000046,user_wallet,usr_000016,,USDT,TRON,clean,2025-11-16T19:52:32
wal_000047,user_wallet,usr_000016,,BTC,BTC,clean,2025-12-14T14:31:34
wal_000048,user_wallet,usr_000016,,ETH,ETH,clean,2025-12-08T03:07:12
wal_000049,user_wallet,usr_000017,,USDT,TRON,clean,2025-12-15T11:25:30
wal_000050,user_wallet,usr_000017,,BTC,BTC,clean,2025-12-06T08:57:29
wal_000051,user_wallet,usr_000017,,ETH,ETH,clean,2025-12-19T23:32:10
wal_000052,user_wallet,usr_000018,,USDT,TRON,clean,2025-11-16T19:55:52
wal_000053,user_wallet,usr_000018,,BTC,BTC,clean,2025-12-06T11:54:32
wal_000054,user_wallet,usr_000018,,ETH,ETH,clean,2025-11-13T13:26:01
wal_000055,user_wallet,usr_000019,,USDT,TRON,clean,2025-12-15T10:43:55
wal_000056,user_wallet,usr_000019,,BTC,BTC,clean,2025-12-14T17:21:34
wal_000057,user_wallet,usr_000019,,ETH,ETH,clean,2025-11-30T02:25:36
wal_000058,user_wallet,usr_000020,,USDT,TRON,clean,2025-12-30T09:51:02
wal_000059,user_wallet,usr_000020,,BTC,BTC,clean,2026-01-01T16:14:42
wal_000060,user_wallet,usr_000020,,ETH,ETH,clean,2025-12-25T16:38:45
wal_000061,user_wallet,usr_000021,,USDT,TRON,clean,2025-12-11T14:32:31
wal_000062,user_wallet,usr_000021,,BTC,BTC,clean,2025-12-17T19:20:33
wal_000063,user_wallet,usr_000021,,ETH,ETH,clean,2025-12-08T16:02:50
wal_000064,user_wallet,usr_000022,,USDT,TRON,clean,2025-12-24T12:40:15
wal_000065,user_wallet,usr_000022,,BTC,BTC,clean,2025-12-12T04:47:36
wal_000066,user_wallet,usr_000022,,ETH,ETH,clean,2025-12-26T14:53:55
wal_000067,user_wallet,usr_000023,,USDT,TRON,clean,2025-11-16T15:50:43
wal_000068,user_wallet,usr_000023,,BTC,BTC,clean,2025-11-25T07:35:45
wal_000069,user_wallet,usr_000023,,ETH,ETH,clean,2025-11-27T11:41:31
wal_000070,user_wallet,usr_000024,,USDT,TRON,clean,2025-11-15T21:46:54
wal_000071,user_wallet,usr_000024,,BTC,BTC,clean,2026-01-01T12:51:27
wal_000072,user_wallet,usr_000024,,ETH,ETH,clean,2025-11-30T18:01:39
