edge_id,occurred_at,src_type,src_id,relation_type,dst_type,dst_id,amount_twd_equiv,asset,scenario_id
edge_000093,2025-12-12T00:04:40,user,usr_000058,USES_DEVICE,device,dev_000093,,,
edge_001539,2025-12-12T00:44:05,user,usr_000929,USES_DEVICE,device,dev_001539,,,
edge_000437,2025-12-12T01:30:24,user,usr_000267,USES_DEVICE,device,dev_000437,,,
edge_001877,2025-12-12T02:16:03,user,usr_001145,USES_DEVICE,device,dev_001877,,,
edge_000479,2025-12-12T02:42:33,user,usr_000289,USES_DEVICE,device,dev_000479,,,
edge_001629,2025-12-12T02:44:00,user,usr_000989,USES_DEVICE,device,dev_001629,,,
edge_001318,2025-12-12T03:05:58,user,usr_000794,USES_DEVICE,device,dev_001318,,,
edge_002007,2025-12-12T03:17:24,user,usr_000021,USES_BANK_ACCOUNT,bank_account,bank_000024,,,
edge_001463,2025-12-12T04:01:11,user,usr_000881,USES_DEVICE,device,dev_001463,,,
edge_003485,2025-12-12T04:07:51,user,usr_001051,USES_BANK_ACCOUNT,bank_account,bank_001502,,,
edge_000207,2025-12-12T07:10:39,user,usr_000125,USES_DEVICE,device,dev_000207,,,
edge_000293,2025-12-12T07:11:43,user,usr_000181,USES_DEVICE,device,dev_000293,,,
edge_001674,2025-12-12T07:14:01,user,usr_001014,USES_DEVICE,device,dev_001674,,,
edge_003618,2025-12-12T07:27:55,user,usr_001143,USES_BANK_ACCOUNT,bank_account,bank_001635,,,
edge_003514,2025-12-12T07:29:08,user,usr_001071,USES_BANK_ACCOUNT,bank_account,bank_001531,,,
edge_003162,2025-12-12T07:35:42,user,usr_000828,USES_BANK_ACCOUNT,bank_account,bank_001179,,,
edge_002501,2025-12-12T07:41:28,user,usr_000371,USES_BANK_ACCOUNT,bank_account,bank_000518,,,
edge_002087,2025-12-12T07:41:52,user,usr_000076,USES_BANK_ACCOUNT,bank_account,bank_000104,,,
edge_003272,2025-12-12T07:55:07,user,usr_000902,USES_BANK_ACCOUNT,bank_account,bank_001289,,,
edge_002972,2025-12-12T07:56:39,user,usr_000692,USES_BANK_ACCOUNT,bank_account,bank_000989,,,
edge_002077,2025-12-12T08:03:17,user,usr_000069,USES_BANK_ACCOUNT,bank_account,bank_000094,,,
edge_002670,2025-12-12T08:06:32,user,usr_000479,USES_BANK_ACCOUNT,bank_account,bank_000687,,,
edge_000452,2025-12-12T08:08:42,user,usr_000274,USES_DEVICE,device,dev_000452,,,
edge_003229,2025-12-12T08:09:31,user,usr_000872,USES_BANK_ACCOUNT,bank_account,bank_001246,,,
edge_001664,2025-12-12T08:20:34,user,usr_001008,USES_DEVICE,device,dev_001664,,,
edge_000811,2025-12-12T08:28:10,user,usr_000484,USES_DEVICE,device,dev_000811,,,
edge_003380,2025-12-12T08:32:34,user,usr_000979,USES_BANK_ACCOUNT,bank_account,bank_001397,,,
edge_001766,2025-12-12T08:53:14,user,usr_001077,USES_DEVICE,device,dev_001766,,,
edge_002765,2025-12-12T09:40:22,user,usr_000547,USES_BANK_ACCOUNT,bank_account,bank_000782,,,
edge_001364,2025-12-12T09:40:37,user,usr_000822,USES_DEVICE,device,dev_001364,,,
edge_003043,2025-12-12T09:43:44,user,usr_000748,USES_BANK_ACCOUNT,bank_account,bank_001060,,,
edge_003534,2025-12-12T09:46:14,user,usr_001084,USES_BANK_ACCOUNT,bank_account,bank_001551,,,
