fiat_txn_id,user_id,occurred_at,direction,amount_twd,currency,bank_account_id,method,status,scenario_id,tags
fiat_004980,usr_001036,2026-01-01T00:09:01,deposit,4809.62,TWD,bank_001479,bank_transfer,completed,,base_flow
fiat_002888,usr_000608,2026-01-01T00:09:49,withdrawal,100.0,TWD,bank_000869,bank_transfer,completed,,base_flow
fiat_000739,usr_000166,2026-01-01T00:10:00,deposit,16547.34,TWD,bank_000235,bank_transfer,completed,,topup_for_trade
fiat_001412,usr_000303,2026-01-01T00:10:00,deposit,16654.88,TWD,bank_000425,bank_transfer,completed,,topup_for_trade
fiat_002045,usr_000437,2026-01-01T00:10:00,deposit,3854.41,TWD,bank_000619,bank_transfer,completed,,topup_for_trade
fiat_002083,usr_000446,2026-01-01T00:10:00,deposit,989972.58,TWD,bank_000632,bank_transfer,completed,,topup_for_trade
fiat_002093,usr_000448,2026-01-01T00:10:00,deposit,14098.5,TWD,bank_000636,bank_transfer,completed,,topup_for_trade
fiat_003417,usr_000714,2026-01-01T00:10:00,deposit,4539.59,TWD,bank_001018,bank_transfer,completed,,topup_for_trade
fiat_003521,usr_000744,2026-01-01T00:10:00,deposit,11943.52,TWD,bank_001055,bank_transfer,completed,,topup_for_trade
fiat_003904,usr_000818,2026-01-01T00:10:00,deposit,341378.72,TWD,bank_001165,bank_transfer,completed,,topup_for_trade
fiat_004588,usr_000959,2026-01-01T00:10:00,deposit,4600.28,TWD,bank_001372,bank_transfer,completed,,topup_for_trade
fiat_005205,usr_001090,2026-01-01T00:10:00,deposit,10919.37,TWD,bank_001560,bank_transfer,completed,,topup_for_trade
fiat_005691,usr_001185,2026-01-01T00:10:00,deposit,5519.3,TWD,bank_001696,bank_transfer,completed,,topup_for_trade
fiat_001221,usr_000267,2026-01-01T00:13:43,deposit,524807.77,TWD,bank_000376,bank_transfer,completed,,base_flow
fiat_000857,usr_000195,2026-01-01T00:14:26,deposit,280154.35,TWD,bank_000272,bank_transfer,completed,,topup_for_trade
fiat_003520,usr_000744,2026-01-01T00:18:32,deposit,5589.72,TWD,bank_001055,bank_transfer,completed,,base_flow
fiat_001707,usr_000369,2026-01-01T00:19:14,deposit,6362.12,TWD,bank_000514,bank_transfer,completed,,topup_for_trade
fiat_000444,usr_000097,2026-01-01T00:36:08,deposit,253736.95,TWD,bank_000136,bank_transfer,completed,,base_flow
fiat_004909,usr_001023,2026-01-01T00:36:35,deposit,303643.08,TWD,bank_001462,bank_transfer,completed,,topup_for_trade
fiat_004964,usr_001033,2026-01-01T00:48:44,withdrawal,100.0,TWD,bank_001476,bank_transfer,completed,,base_flow
fiat_005295,usr_001111,2026-01-01T00:49:56,deposit,3928.44,TWD,bank_001592,bank_transfer,completed,,base_flow
fiat_002294,usr_000489,2026-01-01T01:07:22,deposit,4540.53,TWD,bank_000699,bank_transfer,completed,,topup_for_trade
fiat_001828,usr_000396,2026-01-01T01:15:30,deposit,8236.52,TWD,bank_000553,bank_transfer,completed,,topup_for_trade
fiat_001568,usr_000335,2026-01-01T01:17:04,deposit,14580.39,TWD,bank_000467,bank_transfer,completed,,topup_for_trade
fiat_000994,usr_000222,2026-01-01T01:18:34,deposit,4640.47,TWD,bank_000308,bank_transfer,completed,,base_flow
fiat_005224,usr_001094,2026-01-01T01:22:01,deposit,141638.7,TWD,bank_001567,bank_transfer,completed,,topup_for_trade
fiat_002073,usr_000441,2026-01-01T01:25:29,deposit,6723.18,TWD,bank_000625,bank_transfer,completed,,base_flow
fiat_003016,usr_000636,2026-01-01T01:37:57,deposit,7160.79,TWD,bank_000909,bank_transfer,completed,,topup_for_trade
fiat_003717,usr_000779,2026-01-01T01:39:49,deposit,480237.75,TWD,bank_001109,bank_transfer,completed,,topup_for_trade
fiat_001650,usr_000354,2026-01-01T01:42:12,withdrawal,100.0,TWD,bank_000492,bank_transfer,completed,,base_flow
fiat_003402,usr_000710,2026-01-01T01:44:41,withdrawal,100.0,TWD,bank_001014,bank_transfer,completed,,base_flow
fiat_002431,usr_000518,2026-01-01T01:52:18,deposit,12038.97,TWD,bank_000747,bank_transfer,completed,,topup_for_trade
fiat_002505,usr_000535,2026-01-01T01:54:21,deposit,11234.23,TWD,bank_000767,bank_transfer,completed,,topup_for_trade
