trade_id,user_id,occurred_at,side,base_asset,quote_asset,price_twd,quantity,notional_twd,fee_twd,order_type,status,scenario_id,tags
trade_001351,usr_000303,2026-01-01T00:05:36,buy,USDT,TWD,32.0,412.697187,13206.31,13.21,market,filled,,base_trade
trade_001938,usr_000437,2026-01-01T00:07:33,buy,USDT,TWD,32.0,95.114063,3043.65,3.04,market,filled,,base_trade
trade_004803,usr_001090,2026-01-01T00:16:21,buy,USDT,TWD,32.0,272.625313,8724.01,8.72,market,filled,,base_trade
trade_003304,usr_000744,2026-01-01T00:27:06,buy,BTC,TWD,2200000.0,0.00431782,9499.2,9.5,market,filled,,base_trade
trade_003215,usr_000714,2026-01-01T00:30:31,buy,USDT,TWD,32.0,110.298438,3529.55,3.53,market,filled,,base_trade
trade_003667,usr_000818,2026-01-01T00:33:38,buy,ETH,TWD,110000.0,2.71352109,298487.32,298.49,market,filled,,base_trade
trade_001987,usr_000448,2026-01-01T00:33:59,buy,USDT,TWD,32.0,351.679688,11253.75,11.25,market,filled,,base_trade
trade_000745,usr_000166,2026-01-01T00:39:36,buy,ETH,TWD,110000.0,0.12856027,14141.63,14.14,market,filled,,base_trade
trade_004548,usr_001023,2026-01-01T00:59:35,buy,USDT,TWD,32.0,8033.855312,257083.37,257.08,market,filled,,base_trade
trade_005289,usr_001185,2026-01-01T01:16:31,buy,BTC,TWD,2200000.0,0.00180643,3974.15,3.97,market,filled,,base_trade
trade_001621,usr_000369,2026-01-01T01:25:14,buy,USDT,TWD,32.0,144.631875,4628.22,4.63,market,filled,,base_trade
trade_000836,usr_000195,2026-01-01T01:25:26,buy,USDT,TWD,32.0,8038.775312,257240.81,257.24,market,filled,,base_trade
trade_004329,usr_000959,2026-01-01T01:26:32,buy,USDT,TWD,32.0,97.359375,3115.5,3.12,market,filled,,base_trade
trade_002146,usr_000489,2026-01-01T02:02:22,buy,USDT,TWD,32.0,98.695312,3158.25,3.16,market,filled,,base_trade
trade_001497,usr_000335,2026-01-01T02:03:04,buy,BTC,TWD,2200000.0,0.00525217,11554.77,11.55,market,filled,,base_trade
trade_001966,usr_000446,2026-01-01T02:04:05,buy,ETH,TWD,110000.0,6.67706636,734477.3,734.48,market,filled,,base_trade
trade_001701,usr_000396,2026-01-01T02:15:30,buy,BTC,TWD,2200000.0,0.00322019,7084.42,7.08,market,filled,,base_trade
trade_002879,usr_000636,2026-01-01T02:20:57,buy,BTC,TWD,2200000.0,0.00297047,6535.03,6.54,market,filled,,base_trade
trade_000746,usr_000166,2026-01-01T02:57:19,sell,ETH,TWD,110000.0,0.06241379,6865.52,6.87,market,filled,,base_trade
trade_003494,usr_000779,2026-01-01T03:26:49,buy,ETH,TWD,110000.0,3.36126373,369739.01,369.74,market,filled,,base_trade
trade_003967,usr_000878,2026-01-01T03:31:26,buy,ETH,TWD,110000.0,0.13244291,14568.72,14.57,market,filled,,base_trade
trade_002856,usr_000628,2026-01-01T03:58:41,buy,USDT,TWD,32.0,157.296562,5033.49,5.03,market,filled,,base_trade
trade_004821,usr_001094,2026-01-01T04:03:01,buy,USDT,TWD,32.0,3779.29875,120937.56,120.94,market,filled,,base_trade
trade_003545,usr_000795,2026-01-01T04:12:28,buy,USDT,TWD,32.0,543.085,17378.72,17.38,market,filled,,base_trade
trade_004622,usr_001032,2026-01-01T04:13:54,buy,USDT,TWD,32.0,111.067813,3554.17,3.55,market,filled,,base_trade
trade_002349,usr_000535,2026-01-01T04:24:21,buy,USDT,TWD,32.0,287.183438,9189.87,9.19,market,filled,,base_trade
trade_002298,usr_000518,2026-01-01T04:42:18,buy,USDT,TWD,32.0,272.351562,8715.25,8.72,market,filled,,base_trade
trade_004100,usr_000918,2026-01-01T04:55:27,buy,ETH,TWD,110000.0,0.04073355,4480.69,4.48,market,filled,,base_trade
trade_004497,usr_001010,2026-01-01T07:03:05,buy,USDT,TWD,32.0,251.396562,8044.69,8.04,market,filled,,base_trade
trade_003426,usr_000764,2026-01-01T07:04:14,buy,BTC,TWD,2200000.0,0.00314367,6916.07,6.92,market,filled,,base_trade
trade_003723,usr_000828,2026-01-01T07:07:42,buy,USDT,TWD,32.0,118.292812,3785.37,3.79,market,filled,,base_trade
trade_002452,usr_000550,2026-01-01T07:43:15,buy,USDT,TWD,32.0,118.238125,3783.62,3.78,market,filled,,base_trade
trade_004632,usr_001036,2026-01-01T07:54:38,buy,ETH,TWD,110000.0,0.015375,1691.25,1.69,market,filled,,base_trade
trade_000944,usr_000220,2026-01-01T07:59:12,buy,BTC,TWD,2200000.0,0.06554491,144198.8,144.2,market,filled,,base_trade
trade_005038,usr_001147,2026-01-01T08:03:46,buy,USDT,TWD,32.0,4173.46875,133551.0,133.55,market,filled,,base_trade
trade_001446,usr_000327,2026-01-01T08:04:09,buy,USDT,TWD,32.0,8786.561875,281169.98,281.17,market,filled,,base_trade
trade_004178,usr_000940,2026-01-01T08:08:30,buy,BTC,TWD,2200000.0,0.2066424,454613.28,454.61,market,filled,,base_trade
trade_000286,usr_000066,2026-01-01T08:11:15,buy,USDT,TWD,32.0,27659.29125,885097.32,885.1,market,filled,,base_trade
trade_000710,usr_000164,2026-01-01T08:20:45,buy,USDT,TWD,32.0,24470.73125,783063.4,783.06,market,filled,,base_trade
trade_000213,usr_000055,2026-01-01T09:02:59,buy,ETH,TWD,110000.0,0.39105482,43016.03,43.02,market,filled,,base_trade
trade_003976,usr_000881,2026-01-01T09:22:58,buy,USDT,TWD,32.0,189.32625,6058.44,6.06,market,filled,,base_trade
trade_003668,usr_000818,2026-01-01T09:47:35,buy,BTC,TWD,2200000.0,0.0780764,171768.08,171.77,market,filled,,base_trade
trade_002365,usr_000539,2026-01-01T09:52:19,buy,USDT,TWD,32.0,346.592812,11090.97,11.09,market,filled,,base_trade
trade_003344,usr_000749,2026-01-01T09:56:39,buy,ETH,TWD,110000.0,0.58381309,64219.44,64.22,market,filled,,base_trade
trade_001071,usr_000241,2026-01-01T10:05:47,buy,USDT,TWD,32.0,641.621875,20531.9,20.53,market,filled,,base_trade
trade_001291,usr_000290,2026-01-01T10:11:20,buy,USDT,TWD,32.0,12353.39,395308.48,395.31,market,filled,,base_trade
trade_004195,usr_000941,2026-01-01T10:28:02,buy,USDT,TWD,32.0,6401.235,204839.52,204.84,market,filled,,base_trade
trade_000671,usr_000148,2026-01-01T10:33:35,buy,USDT,TWD,32.0,416.285,13321.12,13.32,market,filled,,base_trade
