link_id,user_id,device_id,is_primary,first_seen_at,last_seen_at
udl_000001,usr_000001,dev_000001,1,2025-12-14T15:28:04,2026-01-31T00:00:00
udl_000002,usr_000001,dev_000002,0,2025-12-22T07:49:01,2026-01-31T00:00:00
udl_000003,usr_000002,dev_000003,1,2025-12-17T08:38:42,2026-01-31T00:00:00
udl_000004,usr_000003,dev_000004,1,2025-12-15T12:51:17,2026-01-31T00:00:00
udl_000005,usr_000003,dev_000005,0,2025-12-30T11:35:45,2026-01-31T00:00:00
udl_000006,usr_000004,dev_000006,1,2025-12-18T11:25:17,2026-01-31T00:00:00
udl_000007,usr_000004,dev_000007,0,2025-12-28T16:42:46,2026-01-31T00:00:00
udl_000008,usr_000005,dev_000008,1,2026-01-01T23:59:00,2026-01-31T00:00:00
udl_000009,usr_000005,dev_000009,0,2025-12-25T20:32:36,2026-01-31T00:00:00
udl_000010,usr_000006,dev_000010,1,2025-12-15T12:51:09,2026-01-31T00:00:00
udl_000011,usr_000007,dev_000011,1,2025-12-28T18:58:11,2026-01-31T00:00:00
udl_000012,usr_000008,dev_000012,1,2025-12-21T14:33:30,2026-01-31T00:00:00
udl_000013,usr_000009,dev_000013,1,2025-12-13T11:07:47,2026-01-31T00:00:00
udl_000014,usr_000009,dev_000014,0,2025-12-18T14:56:38,2026-01-31T00:00:00
udl_000015,usr_000010,dev_000015,1,2025-12-12T21:49:12,2026-01-31T00:00:00
udl_000016,usr_000011,dev_000016,1,2025-12-26T04:51:10,2026-01-31T00:00:00
udl_000017,usr_000012,dev_000017,1,2025-12-24T11:26:39,2026-01-31T00:00:00
udl_000018,usr_000012,dev_000018,0,2025-12-12T12:47:13,2026-01-31T00:00:00
udl_000019,usr_000013,dev_000019,1,2025-12-24T13:34:43,2026-01-31T00:00:00
udl_000020,usr_000013,dev_000020,0,2026-01-01T08:00:35,2026-01-31T00:00:00
udl_000021,usr_000014,dev_000021,1,2025-12-24T07:07:53,2026-01-31T00:00:00
udl_000022,usr_000015,dev_000022,1,2025-12-23T13:17:01,2026-01-31T00:00:00
udl_000023,usr_000015,dev_000023,0,2025-12-24T21:42:08,2026-01-31T00:00:00
udl_000024,usr_000016,dev_000024,1,2025-12-17T14:06:29,2026-01-31T00:00:00
udl_000025,usr_000017,dev_000025,1,2025-12-30T12:55:25,2026-01-31T00:00:00
udl_000026,usr_000018,dev_000026,1,2025-12-17T08:16:33,2026-01-31T00:00:00
udl_000027,usr_000019,dev_000027,1,2026-01-01T16:59:07,2026-01-31T00:00:00
udl_000028,usr_000019,dev_000028,0,2025-12-16T18:23:48,2026-01-31T00:00:00
udl_000029,usr_000020,dev_000029,1,2025-12-31T04:37:34,2026-01-31T00:00:00
udl_000030,usr_000021,dev_000030,1,2025-12-14T14:40:34,2026-01-31T00:00:00
udl_000031,usr_000021,dev_000031,0,2025-12-17T15:25:28,2026-01-31T00:00:00
udl_000032,usr_000022,dev_000032,1,2025-12-12T20:48:24,2026-01-31T00:00:00
udl_000033,usr_000022,dev_000033,0,2025-12-29T09:54:23,2026-01-31T00:00:00
udl_000034,usr_000023,dev_000034,1,2026-01-01T23:59:00,2026-01-31T00:00:00
udl_000035,usr_000024,dev_000035,1,2025-12-20T12:19:40,2026-01-31T00:00:00
udl_000036,usr_000024,dev_000036,0,2025-12-31T11:12:33,2026-01-31T00:00:00
