user_id,created_at,segment,risk_seed_band,kyc_level,occupation,monthly_income_twd,expected_monthly_volume_twd,declared_source_of_funds,residence_country,residence_city,nationality,activity_window,hidden_suspicious_label,observed_blacklist_label,scenario_types,evidence_tags
usr_000001,2025-09-03T10:38:29,retail_investor,clean,basic,operations,31175.0,70576.3,investment,TW,高雄市,TW,09:00-22:00,0,0,,
usr_000002,2024-04-25T12:29:00,dormant,clean,standard,freelancer,27507.0,12126.6,family_support,TW,台南市,TW,09:00-20:00,0,0,,
usr_000003,2024-06-06T12:34:49,salary_cycle,clean,standard,operations,41973.0,60635.13,salary,TW,新竹市,TW,09:00-22:00,0,0,,
usr_000004,2024-09-03T07:05:46,salary_cycle,clean,enhanced,designer,42331.0,64128.01,salary,TW,台中市,TW,09:00-22:00,0,0,,
usr_000005,2024-08-05T23:44:12,retail_investor,clean,basic,freelancer,87296.0,210352.17,business_income,TW,高雄市,TW,09:00-22:00,0,0,,
usr_000006,2025-08-26T15:14:00,salary_cycle,clean,standard,student,68919.0,64906.77,freelance_income,TW,台北市,TW,09:00-22:00,0,0,,
usr_000007,2024-08-08T16:59:56,retail_investor,clean,basic,teacher,29117.0,65844.61,family_support,TW,宜蘭縣,TW,09:00-22:00,0,0,,
usr_000008,2025-02-25T16:03:43,dormant,clean,basic,self_employed,46677.0,9111.58,freelance_income,TW,高雄市,TW,09:00-20:00,0,0,,
usr_000009,2024-05-24T13:29:15,salary_cycle,clean,basic,student,57236.0,77881.66,business_income,TW,宜蘭縣,TW,09:00-22:00,0,0,,
usr_000010,2024-06-20T14:13:55,retail_investor,clean,enhanced,sales,95855.0,212917.62,salary,HK,Hong Kong,HK,09:00-22:00,0,0,,
usr_000011,2025-12-15T04:42:45,retail_investor,clean,enhanced,designer,41402.38,95280.63,savings,TW,高雄市,TW,09:00-22:00,1,0,fan_in_hub,fan_out_to_shared_cluster|kyc_volume_mismatch|short_dwell_time
usr_000012,2024-02-22T15:58:54,retail_investor,clean,standard,operations,32665.0,58294.17,savings,TW,台北市,TW,09:00-22:00,0,0,,
usr_000013,2025-08-07T15:02:39,cross_border,clean,standard,student,58981.0,151497.46,business_income,TW,新北市,TW,09:00-22:00,0,0,,
usr_000014,2025-11-19T14:20:59,night_owl,grey,standard,student,43386.0,75388.22,salary,TW,桃園市,TW,18:00-04:00,0,0,,
usr_000015,2024-09-08T12:28:53,retail_investor,clean,basic,operations,52938.0,87877.29,freelance_income,TW,新北市,TW,09:00-22:00,0,0,,
usr_000016,2024-09-28T07:47:35,dormant,clean,standard,retail_worker,56346.0,14069.0,investment,HK,Hong Kong,HK,09:00-20:00,0,0,,
usr_000017,2024-02-23T10:53:17,dormant,clean,enhanced,software_engineer,33342.0,14795.46,salary,TW,台中市,TW,09:00-20:00,0,0,,
usr_000018,2024-04-25T08:34:02,salary_cycle,clean,standard,office_staff,52167.0,30981.9,family_support,TW,台北市,TW,09:00-22:00,0,0,,
usr_000019,2025-01-02T12:42:06,salary_cycle,clean,enhanced,office_staff,37741.0,29057.17,family_support,TW,台北市,TW,09:00-22:00,0,0,,
usr_000020,2024-01-27T09:50:59,night_owl,clean,enhanced,sales,45514.0,91503.53,freelance_income,TW,高雄市,TW,18:00-04:00,0,0,,
